Unnamed: 0,tconst,ordering,nconst,category,job,characters
579685,tt0068805,2,nm0001136,actor,\N,"[""Jason Staebler""]"
579686,tt0068805,3,nm0000995,actress,\N,"[""Sally""]"
579687,tt0068805,4,nm0732783,actress,\N,"[""Jessica""]"
579688,tt0068805,5,nm0706182,director,\N,\N
579689,tt0068805,6,nm0102840,writer,screenplay,\N
579690,tt0068805,7,nm0004088,cinematographer,director of photography,\N
579691,tt0068805,8,nm0511219,editor,\N,\N
611614,tt0072431,10,nm0397405,editor,\N,\N
611615,tt0072431,1,nm0000698,actor,\N,"[""Dr. Frederick Frankenstein""]"
611616,tt0072431,2,nm0001404,actress,\N,"[""Elizabeth""]"
611617,tt0072431,3,nm0001204,actor,\N,"[""Igor""]"
611618,tt0072431,4,nm0001967,actor,\N,"[""The Monster""]"
611619,tt0072431,5,nm0000316,director,\N,\N
611620,tt0072431,6,nm0791217,writer,"based on characters in the novel ""Frankenstein"" by",\N
611621,tt0072431,7,nm0344710,producer,producer,\N
611622,tt0072431,8,nm0606657,composer,\N,\N
611623,tt0072431,9,nm0386583,cinematographer,director of photography,\N
661910,tt0078087,10,nm0026853,cinematographer,director of photography,\N
661911,tt0078087,1,nm0226947,actor,\N,"[""Paul Grogan""]"
661912,tt0078087,2,nm0579991,actress,\N,"[""Maggie McKeown""]"
661913,tt0078087,3,nm0002994,actor,\N,"[""Dr. Robert Hoak""]"
661914,tt0078087,4,nm0943978,actor,\N,"[""Jack""]"
661915,tt0078087,5,nm0001102,director,\N,\N
661916,tt0078087,6,nm0733015,writer,story,\N
661917,tt0078087,7,nm0000626,writer,story,\N
661918,tt0078087,8,nm0205727,producer,producer,\N
661919,tt0078087,9,nm0006043,composer,\N,\N
682719,tt0080436,10,nm0151649,editor,\N,\N
682720,tt0080436,1,nm0000329,actor,\N,"[""Jerry Kwan""]"
682721,tt0080436,2,nm0213374,actress,\N,"[""Nancy""]"
682722,tt0080436,3,nm0001207,actor,\N,"[""Dominici""]"
682723,tt0080436,4,nm0538683,actor,\N,"[""Herbert""]"
682724,tt0080436,5,nm0167195,director,\N,\N
682725,tt0080436,6,nm0918518,writer,story,\N
682726,tt0080436,7,nm0159494,producer,producer,\N
682727,tt0080436,8,nm0006277,composer,\N,\N
682728,tt0080436,9,nm0422271,cinematographer,director of photography,\N
720797,tt0084732,10,nm0338513,editor,\N,\N
720798,tt0084732,1,nm0001702,actor,\N,"[""Sam Rice""]"
720799,tt0084732,2,nm0000658,actress,\N,"[""Brooke Reynolds""]"
720800,tt0084732,3,nm0001788,actress,\N,"[""Grace Rice""]"
720801,tt0084732,4,nm0341055,actor,\N,"[""Joseph Vitucci""]"
720802,tt0084732,5,nm0000914,director,\N,\N
720803,tt0084732,6,nm0628058,writer,story,\N
720804,tt0084732,7,nm0232945,producer,producer,\N
720805,tt0084732,8,nm0437218,composer,\N,\N
720806,tt0084732,9,nm0000743,cinematographer,director of photography,\N
790722,tt0092632,10,nm0006254,composer,\N,\N
790723,tt0092632,1,nm0000640,actor,\N,"[""Cal Jamison""]"
790724,tt0092632,2,nm0001726,actress,\N,"[""Jessica Halliday""]"
790725,tt0092632,3,nm0189172,actor,\N,"[""Chris Jamison""]"
790726,tt0092632,4,nm0005162,actor,\N,"[""Lieutenant Sean McTaggert""]"
790727,tt0092632,5,nm0772259,director,\N,\N
790728,tt0092632,6,nm0174304,writer,"based on the book ""The Religion"" by",\N
790729,tt0092632,7,nm0004111,writer,screenplay by,\N
790730,tt0092632,8,nm0131771,producer,producer,\N
790731,tt0092632,9,nm0157520,producer,producer,\N
794354,tt0093036,10,nm0125809,cinematographer,director of photography,\N
794355,tt0093036,1,nm0001221,actress,\N,"[""Grandmother""]"
794356,tt0093036,2,nm0005481,actress,\N,"[""Mother""]"
794357,tt0093036,3,nm0001785,actress,\N,"[""Cathy""]"
794358,tt0093036,4,nm0011052,actor,\N,"[""Chris""]"
794359,tt0093036,5,nm0089177,director,\N,\N
794360,tt0093036,6,nm0028892,writer,novel,\N
794361,tt0093036,7,nm0295623,producer,producer,\N
794362,tt0093036,8,nm0505733,producer,producer,\N
794363,tt0093036,9,nm0002366,composer,\N,\N
801311,tt0093822,10,nm0615788,production_designer,\N,\N
801312,tt0093822,1,nm0000115,actor,\N,"[""H.I. McDunnough""]"
801313,tt0093822,2,nm0000456,actress,\N,"[""Ed""]"
801314,tt0093822,3,nm0934254,actor,\N,"[""Nathan Arizona, Sr.""]"
801315,tt0093822,4,nm0000422,actor,\N,"[""Gale""]"
801316,tt0093822,5,nm0001054,director,\N,\N
801317,tt0093822,6,nm0001053,director,\N,\N
801318,tt0093822,7,nm0001980,composer,\N,\N
801319,tt0093822,8,nm0001756,cinematographer,\N,\N
801320,tt0093822,9,nm0588998,editor,\N,\N
823913,tt0096378,10,nm0000035,composer,\N,\N
823914,tt0096378,1,nm0490980,actress,\N,"[""Sylvia Pickel""]"
823915,tt0096378,2,nm0000156,actor,\N,"[""Nick Deezy""]"
823916,tt0096378,3,nm0081560,actor,\N,"[""Eli Diamond""]"
823917,tt0096378,4,nm0503627,actor,\N,"[""Burt Wilder""]"
823918,tt0096378,5,nm0477129,director,\N,\N
823919,tt0096378,6,nm0089634,writer,story by,\N
823920,tt0096378,7,nm0304665,writer,story by,\N
823921,tt0096378,8,nm0541632,writer,story by,\N
823922,tt0096378,9,nm0304673,producer,producer,\N
855956,tt0100029,10,nm0627589,cinematographer,\N,\N
855957,tt0100029,1,nm0000241,actor,\N,"[""Lyon""]"
855958,tt0100029,2,nm0656188,actor,\N,"[""Joshua""]"
855959,tt0100029,3,nm0719612,actress,\N,"[""Cynthia""]"
855960,tt0100029,4,nm0670852,actress,\N,"[""Helene""]"
855961,tt0100029,5,nm0504802,director,\N,\N
855962,tt0100029,6,nm0913027,writer,earlier screenplay,\N
855963,tt0100029,7,nm0440171,producer,producer,\N
855964,tt0100029,8,nm0787420,producer,producer,\N
855965,tt0100029,9,nm0779346,composer,\N,\N
856097,tt0100046,10,nm0005683,cinematographer,director of photography,\N
856098,tt0100046,1,nm0000651,actress,\N,"[""Miriam Thompson""]"
856099,tt0100046,2,nm0000155,actress,\N,"[""Odessa Cotter""]"
856100,tt0100046,3,nm0776239,actor,\N,"[""Norman Thompson""]"
856101,tt0100046,4,nm0000609,actor,\N,"[""Herbert Cotter""]"
856102,tt0100046,5,nm0669004,director,\N,\N
856103,tt0100046,6,nm0179896,writer,\N,\N
856104,tt0100046,7,nm0068132,producer,producer,\N
856105,tt0100046,8,nm0462242,producer,producer,\N
856106,tt0100046,9,nm0006070,composer,\N,\N
904814,tt0105698,10,nm0584382,producer,producer,\N
904815,tt0105698,1,nm0000241,actor,\N,"[""Luc Deveraux"",""GR44""]"
904816,tt0105698,2,nm0000185,actor,\N,"[""Andrew Scott"",""GR13""]"
904817,tt0105698,3,nm0001824,actress,\N,"[""Veronica Roberts""]"
904818,tt0105698,4,nm0642522,actor,\N,"[""Colonel Perry""]"
904819,tt0105698,5,nm0000386,director,\N,\N
904820,tt0105698,6,nm0745330,writer,written by,\N
904821,tt0105698,7,nm0500609,writer,written by,\N
904822,tt0105698,8,nm0002041,writer,written by,\N
904823,tt0105698,9,nm0062332,producer,producer,\N
992114,tt0116059,10,nm0523835,composer,\N,\N
992115,tt0116059,1,nm0001427,actor,\N,"[""Tom Turner""]"
992116,tt0116059,2,nm0582418,actress,\N,"[""Rebecca Frazen""]"
992117,tt0116059,3,nm0001623,actress,\N,"[""Gloria McKinney""]"
992118,tt0116059,4,nm0176792,actor,\N,"[""Herman Dooly""]"
992119,tt0116059,5,nm0005190,director,\N,\N
992120,tt0116059,6,nm0500329,writer,written by,\N
992121,tt0116059,7,nm0438230,writer,written by,\N
992122,tt0116059,8,nm0005494,producer,producer,\N
992123,tt0116059,9,nm0242857,composer,\N,\N
997158,tt0116671,10,nm0502240,cinematographer,\N,\N
997159,tt0116671,1,nm0531924,actor,\N,"[""Jack Frost""]"
997160,tt0116671,2,nm0021597,actor,\N,"[""Sam""]"
997161,tt0116671,3,nm0578833,actor,\N,"[""Agent Manners""]"
997162,tt0116671,4,nm0662238,actor,\N,"[""Paul Davrow""]"
997163,tt0116671,5,nm0177769,director,\N,\N
997164,tt0116671,6,nm0656716,writer,story,\N
997165,tt0116671,7,nm0806219,producer,producer,\N
997166,tt0116671,8,nm0026513,composer,\N,\N
997167,tt0116671,9,nm0776810,composer,\N,\N
1031615,tt0120710,10,nm0006106,composer,\N,\N
1031616,tt0120710,1,nm0000906,actress,\N,"[""Claire Cooper""]"
1031617,tt0120710,2,nm0000375,actor,\N,"[""Vivian Thompson""]"
1031618,tt0120710,3,nm0756218,actress,\N,"[""Rebecca Cooper""]"
1031619,tt0120710,4,nm0001644,actor,\N,"[""Paul Cooper""]"
1031620,tt0120710,5,nm0001403,director,\N,\N
1031621,tt0120710,6,nm0939562,writer,"novel ""Doll's Eyes""",\N
1031622,tt0120710,7,nm0732430,writer,screenplay,\N
1031623,tt0120710,8,nm0003992,producer,producer,\N
1031624,tt0120710,9,nm0941262,producer,producer,\N
1461284,tt0185102,10,nm0377755,actress,\N,"[""Donna Clarke""]"
1461285,tt0185102,1,nm0318821,actor,\N,"[""Stuart Jones""]"
1461286,tt0185102,2,nm0446287,actor,\N,"[""Vince Tyler""]"
1461287,tt0185102,3,nm0402271,actor,\N,"[""Nathan Maloney""]"
1461288,tt0185102,4,nm0085244,actress,\N,"[""Hazel Tyler""]"
1461289,tt0185102,5,nm0203961,writer,written by,\N
1461290,tt0185102,6,nm0222597,actor,\N,"[""Bernard Thomas"",""Barnard Thomas""]"
1461291,tt0185102,7,nm0355563,actress,\N,"[""Romey Sullivan""]"
1461292,tt0185102,8,nm0642109,actress,\N,"[""Janice Maloney""]"
1461293,tt0185102,9,nm0123244,actress,\N,"[""Sandra Docherty""]"
1846985,tt0245407,10,nm0564109,production_designer,\N,\N
1846986,tt0245407,1,nm0000510,actress,\N,"[""Kate""]"
1846987,tt0245407,2,nm0001767,actress,\N,"[""Janine""]"
1846988,tt0245407,3,nm0151250,actress,\N,"[""Molly""]"
1846989,tt0245407,4,nm0234910,actor,\N,"[""Jed""]"
1846990,tt0245407,5,nm0563814,director,\N,\N
1846991,tt0245407,6,nm0859141,producer,producer,\N
1846992,tt0245407,7,nm0999482,composer,\N,\N
1846993,tt0245407,8,nm0103956,cinematographer,director of photography,\N
1846994,tt0245407,9,nm0814620,editor,\N,\N
1965572,tt0263757,10,nm0006597,producer,producer,\N
1965573,tt0263757,1,nm0005261,actress,\N,"[""Molly""]"
1965574,tt0263757,2,nm0266824,actress,\N,"[""Ray""]"
1965575,tt0263757,3,nm0000181,actress,\N,"[""Roma Schleine""]"
1965576,tt0263757,4,nm0817980,actor,\N,"[""Neal""]"
1965577,tt0263757,5,nm0945026,director,\N,\N
1965578,tt0263757,6,nm0196932,writer,screenplay,\N
1965579,tt0263757,7,nm0644806,writer,screenplay,\N
1965580,tt0263757,8,nm0203183,writer,screenplay,\N
1965581,tt0263757,9,nm0414324,writer,story,\N
2002149,tt0269483,10,nm0061045,composer,\N,\N
2002150,tt0269483,1,nm0005045,actor,\N,"[""Earl Crest""]"
2002151,tt0269483,2,nm0454809,actress,\N,"[""Baby""]"
2002152,tt0269483,3,nm0205127,actor,\N,"[""Jimbo""]"
2002153,tt0269483,4,nm0403652,actor,\N,"[""Tinker""]"
2002154,tt0269483,5,nm0783751,director,\N,\N
2002155,tt0269483,6,nm0613271,writer,written by,\N
2002156,tt0269483,7,nm0118928,producer,producer,\N
2002157,tt0269483,8,nm0596203,producer,producer,\N
2002158,tt0269483,9,nm0669093,producer,producer,\N
2415147,tt0330843,10,nm0576540,cinematographer,\N,\N
2415148,tt0330843,1,nm1059103,actor,\N,"[""Aditya""]"
2415149,tt0330843,2,nm0611552,actress,\N,"[""Suhani""]"
2415150,tt0330843,3,nm0451321,actor,\N,"[""Yeshwant Rao""]"
2415151,tt0330843,4,nm0007102,actress,\N,"[""Savitri""]"
2415152,tt0330843,5,nm1249945,director,\N,\N
2415153,tt0330843,6,nm0711745,writer,story & screenplay,\N
2415154,tt0330843,7,nm0347899,writer,dialogue,\N
2415155,tt0330843,8,nm0066063,producer,producer,\N
2415156,tt0330843,9,nm0006246,composer,\N,\N
2432950,tt0333766,10,nm0003394,cinematographer,director of photography,\N
2432951,tt0333766,1,nm0103785,actor,\N,"[""Andrew Largeman""]"
2432952,tt0333766,2,nm0765597,actor,\N,"[""Mark""]"
2432953,tt0333766,3,nm0000204,actress,\N,"[""Sam""]"
2432954,tt0333766,4,nm0000453,actor,\N,"[""Gideon Largeman""]"
2432955,tt0333766,5,nm0008330,producer,producer,\N
2432956,tt0333766,6,nm1344784,producer,producer,\N
2432957,tt0333766,7,nm0357074,producer,producer,\N
2432958,tt0333766,8,nm1305447,producer,producer,\N
2432959,tt0333766,9,nm0279412,composer,\N,\N
2613424,tt0363276,10,nm1615111,composer,score composer,\N
2613425,tt0363276,1,nm0502671,actor,\N,"[""Clark Stevens""]"
2613426,tt0363276,2,nm0480465,actress,\N,"[""Sara""]"
2613427,tt0363276,3,nm0005169,actress,\N,"[""Alice""]"
2613428,tt0363276,4,nm0000448,actor,\N,"[""Dr. Franks""]"
2613429,tt0363276,5,nm0124834,director,\N,\N
2613430,tt0363276,6,nm0835075,writer,story,\N
2613431,tt0363276,7,nm0289284,producer,producer,\N
2613432,tt0363276,8,nm0890552,producer,producer,\N
2613433,tt0363276,9,nm1368309,producer,producer,\N
2834159,tt0397150,10,nm0114687,actor,\N,"[""Patient""]"
2834160,tt0397150,1,nm1547964,actor,\N,"[""Dean Learner"",""Thornton Reed""]"
2834161,tt0397150,2,nm1546196,actor,\N,"[""Dr. Lucien Sanchez"",""Todd Rivers""]"
2834162,tt0397150,3,nm1478358,actor,\N,"[""Dr. Rick Dagless M.D."",""Garth Marenghi""]"
2834163,tt0397150,4,nm1546686,actress,\N,"[""Madeleine Wool"",""Liz Asher"",""Dr. Liz Asher""]"
2834164,tt0397150,5,nm0633618,actor,\N,"[""Jim""]"
2834165,tt0397150,6,nm1027986,actor,\N,"[""Padre""]"
2834166,tt0397150,7,nm1187883,actor,\N,"[""Chef's Assistant"",""Highlander""]"
2834167,tt0397150,8,nm0437998,actress,\N,"[""Larry's Mother""]"
2834168,tt0397150,9,nm0512627,actor,\N,"[""Security Guard""]"
3247172,tt0457510,10,nm0000384,composer,\N,\N
3247173,tt0457510,1,nm0085312,actor,\N,"[""Nacho""]"
3247174,tt0457510,2,nm0478886,actress,\N,"[""Sister Encarnaci贸n""]"
3247175,tt0457510,3,nm0422948,actor,\N,"[""Esqueleto""]"
3247176,tt0457510,4,nm1377265,actor,\N,"[""Chancho""]"
3247177,tt0457510,5,nm0381478,director,\N,\N
3247178,tt0457510,6,nm1415801,writer,written by,\N
3247179,tt0457510,7,nm0925234,writer,written by,\N
3247180,tt0457510,8,nm0458482,producer,producer,\N
3247181,tt0457510,9,nm0685597,producer,producer,\N
3277543,tt0461936,10,nm0523415,composer,\N,\N
3277544,tt0461936,1,nm0451321,actor,\N,"[""Mark Donald (Don)"",""Vijay Pal""]"
3277545,tt0461936,2,nm1231899,actress,\N,"[""Roma Bhagat""]"
3277546,tt0461936,3,nm0992000,actor,\N,"[""Jasjit Ahuja""]"
3277547,tt0461936,4,nm0465929,actress,\N,"[""Anita""]"
3277548,tt0461936,5,nm1027719,director,\N,\N
3277549,tt0461936,6,nm0451311,writer,based on an original screenplay by,\N
3277550,tt0461936,7,nm0015287,writer,based on an original screenplay by,\N
3277551,tt0461936,8,nm1032700,producer,producer,\N
3277552,tt0461936,9,nm0536708,composer,\N,\N
3422864,tt0484111,10,nm2122751,editor,\N,\N
3422865,tt0484111,1,nm0293509,actor,\N,"[""Gary Shaller""]"
3422866,tt0484111,2,nm0000569,actress,\N,"[""Dora Shaller""]"
3422867,tt0484111,3,nm0004851,actress,\N,"[""Anna"",""Melodia""]"
3422868,tt0484111,4,nm0020717,actor,\N,"[""Norman""]"
3422869,tt0484111,5,nm0658823,director,\N,\N
3422870,tt0484111,6,nm0317642,producer,producer,\N
3422871,tt0484111,7,nm0426440,producer,producer,\N
3422872,tt0484111,8,nm1465570,composer,\N,\N
3422873,tt0484111,9,nm0638365,cinematographer,director of photography,\N
6149511,tt0829176,10,nm0322499,composer,\N,\N
6149512,tt0829176,1,nm0000648,actor,\N,"[""Aman""]"
6149513,tt0829176,2,nm0397721,actor,\N,"[""Kansa""]"
6149514,tt0829176,3,nm0809720,actor,\N,"[""Fabulos""]"
6149515,tt0829176,4,nm1801063,actress,\N,"[""Angel""]"
6149516,tt0829176,5,nm0331777,director,\N,\N
6149517,tt0829176,6,nm0714199,writer,screenplay written by,\N
6149518,tt0829176,7,nm3635198,producer,executive producer,\N
6149519,tt0829176,8,nm4527554,producer,producer,\N
6149520,tt0829176,9,nm3599831,producer,producer,\N
6531637,tt0880648,10,nm0931251,producer,producer,\N
6531638,tt0880648,1,nm0192889,actor,\N,"[""Driver""]"
6531639,tt0880648,2,nm0514228,actress,\N,"[""Mel""]"
6531640,tt0880648,3,nm2110814,actress,\N,"[""Jules""]"
6531641,tt0880648,4,nm0235004,actor,\N,"[""Andy""]"
6531642,tt0880648,5,nm2207094,director,\N,\N
6531643,tt0880648,6,nm0231882,producer,producer,\N
6531644,tt0880648,7,nm2498075,producer,producer,\N
6531645,tt0880648,8,nm2462492,producer,producer,\N
6531646,tt0880648,9,nm1278274,producer,producer,\N
6757327,tt0910905,10,nm0280333,producer,producer,\N
6757328,tt0910905,1,nm0000169,actor,\N,"[""Dave Robicheaux""]"
6757329,tt0910905,2,nm0000422,actor,\N,"[""Julie 'Baby Feet' Balboni""]"
6757330,tt0910905,3,nm0765597,actor,\N,"[""Elrod T. Sykes""]"
6757331,tt0910905,4,nm0005460,actress,\N,"[""Bootsie Robicheaux""]"
6757332,tt0910905,5,nm0851724,director,\N,\N
6757333,tt0910905,6,nm0472100,writer,screenplay,\N
6757334,tt0910905,7,nm1400959,writer,screenplay,\N
6757335,tt0910905,8,nm0121715,writer,"novel ""In the Electric Mist with Confederate Dead""",\N
6757336,tt0910905,9,nm0099748,producer,producer,\N
6870585,tt0926063,10,nm1599107,production_designer,\N,\N
6870586,tt0926063,1,nm2057557,actor,\N,"[""Jimmy Dunn""]"
6870587,tt0926063,2,nm2337393,actress,\N,"[""Lindsey""]"
6870588,tt0926063,3,nm2576384,actor,\N,"[""Steven""]"
6870589,tt0926063,4,nm2401385,actress,\N,"[""Gwen""]"
6870590,tt0926063,5,nm0084059,director,\N,\N
6870591,tt0926063,6,nm1298090,writer,written by,\N
6870592,tt0926063,7,nm0088173,producer,producer,\N
6870593,tt0926063,8,nm0141766,composer,\N,\N
6870594,tt0926063,9,nm1013783,cinematographer,\N,\N
7968207,tt10174244,10,nm4091002,actor,\N,"[""Constable Dwivedi""]"
7968208,tt10174244,1,nm3761132,actor,\N,"[""Nakul""]"
7968209,tt10174244,2,nm4405794,actress,\N,"[""Shloka""]"
7968210,tt10174244,3,nm1335698,actress,\N,"[""Karima Upadhyay""]"
7968211,tt10174244,4,nm1982843,actor,\N,"[""Fokatiya Baba""]"
7968212,tt10174244,5,nm3721371,actor,\N,"[""Inspector Bir Singh""]"
7968213,tt10174244,6,nm2161867,actress,\N,"[""Maria Gomes""]"
7968214,tt10174244,7,nm2936061,actor,\N,"[""Dr. Goldfish""]"
7968215,tt10174244,8,nm7882131,actor,\N,"[""Inspector Vitthal""]"
7968216,tt10174244,9,nm4540889,actress,\N,"[""Ayesha Mirani""]"
8487491,tt1032856,10,nm1979335,producer,producer,\N
8487492,tt1032856,1,nm0299924,actor,\N,"[""Lieutenant-colonel Tawfiq Zacharya""]"
8487494,tt1032856,2,nm0253813,actress,\N,"[""Dina""]"
8487495,tt1032856,3,nm2759746,actor,\N,"[""Haled""]"
8487506,tt1032856,4,nm0622384,actor,\N,"[""Simon""]"
8487507,tt1032856,5,nm0464115,director,\N,\N
8487518,tt1032856,6,nm0088173,producer,producer,\N
8487519,tt1032856,7,nm1848104,producer,producer,\N
8487530,tt1032856,8,nm2764493,producer,producer,\N
8487531,tt1032856,9,nm0711940,producer,producer,\N
8547436,tt10344410,10,nm3664430,actor,\N,"[""Daniel Diggins""]"
8547437,tt10344410,1,nm7326511,actress,\N,"[""Heather Nill""]"
8547438,tt10344410,2,nm4576311,actor,\N,"[""Dodge Mason""]"
8547439,tt10344410,3,nm4088627,actress,\N,"[""Natalie Williams""]"
8547440,tt10344410,4,nm2200658,actor,\N,"[""Ray Hall""]"
8547441,tt10344410,5,nm3986344,writer,based on the novel by,\N
8547442,tt10344410,6,nm6400428,actor,\N,"[""Bishop Moore""]"
8547443,tt10344410,7,nm0006663,actor,\N,"[""Sheriff James 'Jimmy' Cortez""]"
8547444,tt10344410,8,nm0931822,actor,\N,"[""Capt. John Williams""]"
8547445,tt10344410,9,nm1563349,actress,\N,"[""Sgt. Christine Langley""]"
9331697,tt10556338,10,nm2898034,actress,\N,"[""Louisa Radlett""]"
9331698,tt10556338,1,nm4141252,actress,\N,"[""Linda Radlett""]"
9331699,tt10556338,2,nm2387806,actress,\N,"[""Fanny Logan""]"
9331700,tt10556338,3,nm0922035,actor,\N,"[""Uncle Matthew""]"
9331701,tt10556338,4,nm0607865,actress,\N,"[""The Bolter""]"
9331702,tt10556338,5,nm0920185,actress,\N,"[""Aunt Sadie""]"
9331703,tt10556338,6,nm3467387,actor,\N,"[""Davey""]"
9331704,tt10556338,7,nm3691746,actor,\N,"[""Alfred Wincham"",""Alfred Winchman""]"
9331705,tt10556338,8,nm0612442,actress,\N,"[""Aunt Emily""]"
9331706,tt10556338,9,nm0778831,actor,\N,"[""Lord Merlin""]"
11025290,tt11080108,10,nm0753083,producer,producer,\N
11025291,tt11080108,1,nm1105980,actress,\N,"[""Margaret""]"
11025292,tt11080108,2,nm6563873,actor,\N,"[""Mark""]"
11025293,tt11080108,3,nm8920089,actor,\N,"[""Henry""]"
11025294,tt11080108,4,nm7480942,actress,\N,"[""Phoebe""]"
11025295,tt11080108,5,nm3859682,director,\N,\N
11025296,tt11080108,6,nm5107819,writer,based on the short story by,\N
11025297,tt11080108,7,nm4516779,producer,producer,\N
11025298,tt11080108,8,nm0326040,producer,producer,\N
11025299,tt11080108,9,nm0504298,producer,producer,\N
11248175,tt11143108,10,nm9350582,cinematographer,\N,\N
11248176,tt11143108,1,nm5654463,actor,\N,"[""Arjun""]"
11248177,tt11143108,2,nm3277309,actress,\N,"[""Anu""]"
11248178,tt11143108,3,nm4224187,actress,\N,"[""Meera""]"
11248179,tt11143108,4,nm4043111,actor,\N,"[""God (Special Appearance)""]"
11248180,tt11143108,5,nm11065997,director,\N,\N
11248181,tt11143108,6,nm7120982,producer,producer,\N
11248182,tt11143108,7,nm2347594,producer,producer,\N
11248183,tt11143108,8,nm11327810,producer,producer,\N
11248184,tt11143108,9,nm7228782,composer,\N,\N
12763298,tt1158939,10,nm0910621,composer,\N,\N
12763299,tt1158939,1,nm0386472,actor,\N,"[""Patrick Tate""]"
12763303,tt1158939,2,nm0000131,actor,\N,"[""Dutch Albert""]"
12763304,tt1158939,3,nm1918862,actress,\N,"[""Audrey Tate""]"
12763306,tt1158939,4,nm9450235,actress,\N,"[""Emma Tate""]"
12763307,tt1158939,5,nm2830839,director,\N,\N
12763311,tt1158939,6,nm2607786,producer,producer,\N
12763312,tt1158939,7,nm0825350,producer,producer,\N
12763313,tt1158939,8,nm0942346,producer,producer,\N
12763314,tt1158939,9,nm3264050,composer,\N,\N
13545591,tt1182937,10,nm1364438,production_designer,\N,\N
13545592,tt1182937,1,nm0451321,actor,\N,"[""Surinder 'Suri' Sahni"",""Raj Kapoor""]"
13545593,tt1182937,2,nm3087728,actress,\N,"[""Taani Sahni""]"
13545594,tt1182937,3,nm0665555,actor,\N,"[""Balwinder 'Bobby' Khosla""]"
13545598,tt1182937,4,nm0706954,actor,\N,"[""Taani's father""]"
13545599,tt1182937,5,nm0159147,director,\N,\N
13545600,tt1182937,6,nm0007181,producer,producer,\N
13545601,tt1182937,7,nm1224445,composer,\N,\N
13545602,tt1182937,8,nm0151533,cinematographer,director of photography,\N
13545603,tt1182937,9,nm1191112,editor,\N,\N
13626625,tt1185420,10,nm1243731,composer,\N,\N
13626626,tt1185420,1,nm0045393,actor,\N,"[""Sameer 'Sam' Acharya""]"
13626627,tt1185420,2,nm1303433,actor,\N,"[""Kunal Chauhan""]"
13626628,tt1185420,3,nm1231899,actress,\N,"[""Neha Melwani""]"
13626629,tt1185420,4,nm0451601,actress,\N,"[""Mrs. Acharya""]"
13626630,tt1185420,5,nm1160374,director,\N,\N
13626631,tt1185420,6,nm2101751,writer,dialogue script,\N
13626632,tt1185420,7,nm0424101,producer,producer,\N
13626633,tt1185420,8,nm0424103,producer,producer,\N
13626634,tt1185420,9,nm1318670,composer,\N,\N
15994953,tt1265990,10,nm0005824,cinematographer,director of photography,\N
15994954,tt1265990,1,nm1310368,actress,\N,"[""Sara Matthews""]"
15994965,tt1265990,2,nm1015262,actress,\N,"[""Rebecca""]"
15994966,tt1265990,3,nm1544217,actor,\N,"[""Stephen""]"
15994967,tt1265990,4,nm1425528,actress,\N,"[""Tracy""]"
15994968,tt1265990,5,nm0160157,director,\N,\N
15994979,tt1265990,6,nm1867458,writer,written by,\N
15994980,tt1265990,7,nm0205713,producer,producer,\N
15994991,tt1265990,8,nm0498175,producer,producer,\N
15994992,tt1265990,9,nm0002227,composer,\N,\N
16178816,tt1272886,10,nm0863659,producer,producer,\N
16178817,tt1272886,1,nm0524240,actor,\N,"[""Franklin Franklin""]"
16178821,tt1272886,2,nm0001780,actor,\N,"[""Mr. Olivetti""]"
